Row #,Species,Count,Location,S/P,Date,LocID,SubID
31,Red-breasted Merganser - Mergus serrator,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
32,Ruddy Duck - Oxyura jamaicensis,6,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823181
33,Ruffed Grouse - Bonasa umbellus,1,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889011
34,Wild Turkey - Meleagris gallopavo,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
35,Common Loon - Gavia immer,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
36,Pied-billed Grebe - Podilymbus podiceps,2,"Leamington, 604-608 Bevel Line Road",CA-ON,20 Apr 2013,L2126285,S13817330
37,Horned Grebe - Podiceps auritus,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
38,Red-necked Grebe - Podiceps grisegena,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13357899
39,Eared Grebe - Podiceps nigricollis,2,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
40,Western Grebe - Aechmophorus occidentalis,5,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
41,Northern Gannet - Morus bassanus,1,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
42,Double-crested Cormorant - Phalacrocorax auritus,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
43,Pelagic Cormorant - Phalacrocorax pelagicus,15,Ferry - Tsawwassen to Active Pass,CA-BC,11 May 2013,L306824,S14163110
44,Brown Pelican - Pelecanus occidentalis,2,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
45,Great Blue Heron - Ardea herodias,2,"Leamington, 604-608 Bevel Line Road",CA-ON,20 Apr 2013,L2126285,S13817330
46,Gray Heron - Ardea cinerea,1,St. James Park,GB-ENG,03 Jun 2013,L945563,S14376550
47,Great Egret - Ardea alba,1,Toronto--High Park,CA-ON,07 Apr 2013,L2089949,S13660961
48,Snowy Egret - Egretta thula,1,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
49,Black-crowned Night-Heron - Nycticorax nycticorax,1,South Beach--shoreline,US-CA,18 Apr 2013,L762572,S13792257
50,White-faced Ibis - Plegadis chihi,20,"Rigby, 4175 East Menan Lorenzo Highway",US-ID,30 Jun 2013,L2262280,S14568354
51,Turkey Vulture - Cathartes aura,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
52,Osprey - Pandion haliaetus,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854811
53,White-tailed Kite - Elanus leucurus,,"Stanford, Junipero Serra Freeway",US-CA,16 Apr 2013,L2119387,S13773861
54,Northern Harrier - Circus cyaneus,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
55,Cooper's Hawk - Accipiter cooperii,1,Collingwood Harbour,CA-ON,10 Feb 2013,L880143,S13388889
56,Bald Eagle - Haliaeetus leucocephalus,1,Ferry - Tsawwassen to Active Pass,CA-BC,11 May 2013,L306824,S14163110
57,Red-tailed Hawk - Buteo jamaicensis,1,Scarborough--Bluffers Park,CA-ON,18 Feb 2013,L450425,S13098235
58,Eurasian Moorhen - Gallinula chloropus,8,St. James Park,GB-ENG,03 Jun 2013,L945563,S14376550
59,Eurasian Coot - Fulica atra,40,St. James Park,GB-ENG,03 Jun 2013,L945563,S14376550
60,American Coot - Fulica americana,4,Toronto--Sunnyside Beach,CA-ON,13 Jan 2013,L1356513,S13388806
61,Sandhill Crane - Grus canadensis,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
62,Semipalmated Plover - Charadrius semipalmatus,1,Mississauga--Rattray Marsh,CA-ON,25 Aug 2013,L160823,S15019670
63,Killdeer - Charadrius vociferus,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13357899
64,Greater Yellowlegs - Tringa melanoleuca,3,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823181
65,Willet - Tringa semipalmata,1,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
66,Upland Sandpiper - Bartramia longicauda,20,"Plainfield, Interstate 90",US-SD,01 Jul 2013,L2261325,S14562661
67,Dunlin - Calidris alpina,20,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823181
68,Common Murre - Uria aalge,500,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
69,Thick-billed Murre - Uria lomvia,1,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
70,Razorbill - Alca torda,20,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
71,Black Guillemot - Cepphus grylle,1,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
72,Pigeon Guillemot - Cepphus columba,2,Ferry - Tsawwassen to Active Pass,CA-BC,11 May 2013,L306824,S14163110
73,Rhinoceros Auklet - Cerorhinca monocerata,3,Ferry - Tsawwassen to Active Pass,CA-BC,11 May 2013,L306824,S14163110
74,Atlantic Puffin - Fratercula arctica,500,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
75,Black-legged Kittiwake - Rissa tridactyla,200,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
76,Bonaparte's Gull - Chroicocephalus philadelphia,3,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13670276
77,Black-headed Gull - Chroicocephalus ridibundus,30,Jardin des Tuileries,FR-J,12 Jan 2014,L1552210,S16480401
78,Franklin's Gull - Leucophaeus pipixcan,3,"Rigby, 4175 East Menan Lorenzo Highway",US-ID,30 Jun 2013,L2262280,S14568354
79,Heermann's Gull - Larus heermanni,1,South Beach--shoreline,US-CA,18 Apr 2013,L762572,S13792257
80,Ring-billed Gull - Larus delawarensis,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
81,Western Gull - Larus occidentalis,40,"Half Moon Bay, 114 Broadway",US-CA,19 Mar 2013,L2086176,S13553651
82,Herring Gull - Larus argentatus,,Collingwood Harbour,CA-ON,22 Apr 2011,L880143,S16483194
83,Iceland Gull - Larus glaucoides,1,Scarborough--Bluffers Park,CA-ON,18 Feb 2013,L450425,S13098235
84,Glaucous-winged Gull - Larus glaucescens,20,Ferry - Tsawwassen to Active Pass,CA-BC,11 May 2013,L306824,S14163110
85,Glaucous Gull - Larus hyperboreus,1,Collingwood Harbour,CA-ON,10 Feb 2013,L880143,S13388889
86,Great Black-backed Gull - Larus marinus,20,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
87,Caspian Tern - Hydroprogne caspia,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854811
88,Common Tern - Sterna hirundo,1,NL--Witless Bay--Gull Island,CA-NL,26 Jul 2013,L299030,S14933540
89,Rock Pigeon - Columba livia,6,Ontario Science Centre/Seton Park,CA-ON,17 Feb 2013,L2059381,S13388838
90,Common Wood-Pigeon - Columba palumbus,6,St. James Park,GB-ENG,03 Jun 2013,L945563,S14376550
91,Mourning Dove - Zenaida macroura,5,Toronto--Colonel Samuel Smith Park,CA-ON,09 Mar 2013,L2044199,S13342443
92,Snowy Owl - Bubo scandiacus,1,Toronto--Downsview Park,CA-ON,23 Dec 2013,L1437376,S16067214
